Age,Dependents,Debt_Ratio,Late_Payment
57,0,0.39,No
34,0,0.51,Yes
42,0,0.48,No
34,0,0.24,No
66,0,0.15,No
53,0,0.11,No
50,2,0.31,No
46,1,0.35,No
29,0,0.25,No
57,0,0.08,No
55,3,0.41,No
46,2,0.58,Yes
24,0,0.05,No
48,0,0.09,No
31,0,0.27,Yes
45,0,0.46,Yes
46,0,0.45,No
35,2,0.30,No
33,0,0.30,No
65,0,0.18,No
43,2,0.31,No
51,3,0.49,No
39,0,0.26,No
42,0,0.83,No
82,0,0.05,No
45,2,0.44,Yes
51,1,0.33,No
74,1,0.08,No
79,0,0.01,No
42,1,0.79,No
48,1,0.37,No
76,0,0.27,No
81,1,0.26,No
37,0,0.29,Yes
34,1,0.85,No
50,2,0.22,No
41,2,0.72,Yes
59,2,0.97,Yes
55,0,0.29,Yes
64,0,0.01,No
49,0,0.25,No
61,1,0.43,No
49,0,0.64,Yes
44,2,0.46,Yes
36,0,0.37,No
44,4,0.26,No
63,0,0.41,No
47,2,0.23,No
60,1,0.45,Yes
38,1,0.39,No
43,1,0.21,No
54,0,0.15,No
68,1,0.33,No
68,1,0.02,No
76,0,0.67,No
62,0,0.25,No
40,4,0.12,No
27,0,0.22,No
38,0,0.00,No
68,0,0.00,No
62,1,0.24,No
60,0,0.24,No
41,2,0.48,No
58,1,0.00,No
54,1,0.93,No
47,3,0.07,No
61,0,0.09,No
61,0,0.27,No
42,3,0.00,No
66,1,0.10,No
51,1,0.49,No
58,1,0.49,No
50,0,0.68,No
54,2,0.69,Yes
66,1,0.29,Yes
76,0,0.01,No
74,0,0.35,Yes
49,1,0.40,No
56,0,0.28,No
53,0,0.31,No
33,0,0.16,No
39,2,0.84,No
32,1,0.39,No
43,2,0.35,Yes
68,0,0.21,Yes
55,0,0.34,No
47,3,0.43,No
46,3,0.47,Yes
64,3,0.16,No
55,0,0.02,No
60,1,0.54,No
67,0,0.33,No
63,0,0.81,No
36,1,0.36,Yes
86,0,0.02,No
39,0,0.33,No
48,2,0.21,No
79,0,0.23,No
52,1,0.48,No
47,0,0.09,No
40,4,0.41,No
28,4,0.19,No
42,2,0.58,No
54,0,0.14,No
36,1,0.09,No
55,0,0.27,Yes
62,1,0.10,No
29,0,0.18,No
40,2,0.36,No
32,0,0.01,No
58,0,0.28,No
72,0,0.04,No
49,4,0.36,No
72,2,0.25,No
66,1,0.20,No
47,3,0.52,Yes
31,0,0.74,No
43,0,0.35,No
67,0,0.01,No
42,0,0.41,Yes
31,0,0.49,No
52,1,0.32,No
56,0,0.34,No
52,0,0.00,No
62,0,0.45,No
46,6,0.16,No
55,0,0.19,No
45,1,0.48,Yes
69,0,0.22,No
49,0,0.15,No
31,0,0.33,No
28,0,0.40,No
59,0,0.33,No
53,3,0.40,No
61,0,0.22,No
34,0,0.40,No
61,0,0.17,No
33,0,0.66,No
38,0,0.64,No
34,1,0.49,No
27,2,0.12,No
37,2,0.48,No
46,2,0.21,No
29,0,0.38,No
56,1,0.23,No
32,0,0.20,Yes
33,2,0.33,No
59,0,0.34,No
51,1,0.02,Yes
79,0,0.01,No
55,1,0.26,Yes
39,1,0.31,Yes
29,0,0.50,No
64,2,0.30,No
57,1,0.32,No
75,0,0.35,No
31,0,0.73,No
78,0,0.06,No
45,1,0.42,No
46,3,0.27,No
53,1,0.34,No
53,2,0.25,No
27,0,0.15,No
55,3,0.87,Yes
47,2,0.19,No
44,0,0.05,No
51,1,0.06,No
54,3,0.17,Yes
42,0,0.21,No
80,0,0.00,No
48,1,0.13,No
56,0,0.36,No
22,0,0.00,No
70,0,0.14,No
54,1,0.04,No
46,4,0.17,No
45,0,0.71,No
66,0,0.19,Yes
55,0,0.35,No
86,0,0.00,No
60,0,0.35,No
72,0,0.15,No
64,0,0.36,No
62,0,0.00,No
36,0,0.66,No
63,0,0.24,No
57,3,0.41,No
45,2,0.20,No
61,0,0.05,No
57,2,0.32,No
58,0,0.24,No
36,2,0.38,No
24,0,0.02,No
60,0,0.54,Yes
38,1,0.30,No
67,0,0.23,No
85,0,0.00,No
47,0,0.14,No
34,3,0.23,No
62,0,0.23,No
48,0,0.40,No
54,3,0.01,No
40,0,0.71,No
42,2,0.21,Yes
32,0,0.27,No
62,1,0.25,No
57,0,0.34,No
48,2,0.69,No
57,1,0.00,No
62,0,0.23,No
52,0,0.54,No
41,0,0.29,No
44,3,0.41,No
77,0,0.03,No
41,1,0.39,Yes
66,0,0.22,No
36,2,0.34,No
49,0,0.91,Yes
41,0,0.19,No
31,0,0.26,Yes
67,0,0.37,No
29,0,0.36,No
39,0,0.10,No
58,1,0.45,Yes
58,0,0.20,No
44,4,0.08,No
35,0,0.24,No
39,1,0.02,No
28,2,0.12,No
70,0,0.04,No
43,2,0.33,No
40,0,0.21,No
32,0,0.12,No
82,0,0.00,No
44,1,0.62,Yes
56,0,0.50,No
39,3,0.15,Yes
64,0,0.25,No
48,0,0.36,No
50,3,0.20,Yes
65,0,0.55,No
38,2,0.42,No
73,0,0.32,No
43,1,0.18,Yes
51,0,0.50,No
62,0,0.53,No
38,0,0.43,Yes
46,0,0.11,Yes
46,1,0.00,No
86,0,0.01,No
59,0,0.62,No
60,2,0.47,No
63,0,0.32,No
43,0,0.16,No
42,0,0.14,No
29,0,0.10,No
70,0,0.41,No
37,0,0.15,No
32,0,0.12,No
69,0,0.29,Yes
73,0,0.17,No
27,1,0.01,No
53,0,0.70,No
42,3,0.44,No
39,2,0.40,No
68,0,0.29,No
47,3,0.09,No
44,2,0.64,No
46,4,0.11,No
62,0,0.07,No
52,1,0.35,Yes
44,2,0.44,No
52,1,0.31,No
40,1,0.47,No
33,0,0.17,Yes
41,1,0.33,No
43,2,0.26,Yes
51,0,0.49,No
69,0,0.17,No
57,0,0.94,Yes
52,2,0.37,No
67,0,0.36,No
64,0,0.34,No
57,0,0.27,No
64,0,0.48,No
67,0,0.22,No
32,0,0.19,Yes
59,1,0.64,No
47,2,0.29,No
33,0,0.27,No
50,0,0.28,No
28,0,0.57,No
45,4,0.37,No
49,0,0.43,No
49,0,0.13,No
55,0,0.38,No
63,0,0.99,No
41,1,0.77,No
31,0,0.42,Yes
65,0,0.30,No
51,0,0.07,No
48,0,0.49,No
46,3,0.34,No
47,0,0.40,No
55,2,0.70,Yes
66,0,0.27,No
52,2,0.44,No
77,0,0.33,No
30,2,0.00,No
35,0,0.40,No
61,0,0.35,No
54,0,0.63,No
64,0,0.00,No
60,0,0.20,No
30,0,0.51,No
55,2,0.54,Yes
47,1,0.37,No
42,4,0.38,No
76,0,0.01,No
34,0,0.03,No
59,1,0.47,No
49,1,0.32,No
44,0,0.24,No
53,4,0.46,No
84,0,0.00,No
72,0,0.04,No
46,4,0.54,No
53,3,0.20,No
31,2,0.41,Yes
98,0,0.01,No
54,0,0.49,No
53,1,0.34,No
51,0,0.26,Yes
60,0,0.49,No
48,1,0.92,Yes
32,1,0.46,No
56,0,0.01,No
49,0,0.22,No
36,1,0.30,No
37,2,0.27,No
53,0,0.47,No
60,0,0.27,No
59,0,0.07,No
44,3,0.00,No
86,1,0.01,No
58,2,0.12,No
49,0,0.05,No
48,0,0.49,No
41,0,0.04,No
56,2,0.32,No
70,0,0.01,No
52,0,0.17,No
63,1,0.36,Yes
63,0,0.26,No
55,0,0.30,No
47,4,0.14,No
50,3,0.25,No
51,0,0.41,No
46,3,0.48,No
33,0,0.33,No
29,3,0.24,No
61,0,0.28,No
46,3,0.25,No
56,1,0.40,No
35,0,0.66,Yes
58,0,0.24,No
24,0,0.17,No
74,0,0.27,No
53,1,0.11,No
35,2,0.48,No
58,1,0.81,No
73,0,0.58,No
68,0,0.31,No
36,0,0.24,No
47,1,0.28,No
52,0,0.16,No
62,1,0.57,No
44,0,0.21,Yes
40,2,0.21,No
61,0,0.35,Yes
49,0,0.54,No
42,2,0.46,No
52,1,0.16,No
56,0,0.35,No
39,0,0.35,No
31,0,0.12,Yes
88,0,0.31,Yes
27,0,0.17,No
61,0,0.54,No
43,1,0.34,No
42,1,0.64,No
46,1,0.05,No
44,0,0.19,No
43,0,0.50,No
37,1,0.14,Yes
59,0,0.65,No
74,8,0.38,No
61,0,0.63,No
47,3,0.04,No
36,0,0.14,No
27,2,0.02,Yes
56,1,0.17,No
51,1,0.56,No
57,4,0.25,No
23,0,0.00,No
60,0,0.49,Yes
47,3,0.03,No
57,1,0.00,No
35,0,0.01,No
41,0,0.23,No
70,1,0.08,No
49,3,0.25,No
54,0,0.45,Yes
56,2,0.85,Yes
57,1,0.04,No
49,3,0.29,Yes
43,5,0.28,No
64,1,0.07,No
32,0,0.09,No
40,0,0.23,No
64,1,0.59,No
65,0,0.22,No
39,2,0.69,Yes
80,0,0.43,No
32,3,0.41,No
37,1,0.29,No
29,2,0.10,No
56,1,0.36,No
48,1,0.83,No
44,2,0.50,No
45,2,0.22,No
57,1,0.16,No
49,0,0.85,No
46,2,0.96,No
61,0,0.05,No
50,2,0.38,No
30,1,0.19,No
51,1,0.00,No
61,2,0.18,Yes
54,1,0.43,Yes
49,3,0.22,No
52,1,0.26,No
27,1,0.01,No
41,1,0.23,No
42,3,0.42,No
67,0,0.54,No
47,2,0.18,No
48,1,0.72,No
45,3,0.67,Yes
51,3,0.50,No
50,0,0.37,No
57,1,0.04,No
33,2,0.11,Yes
41,2,0.25,No
35,0,0.20,No
50,0,0.08,No
37,2,0.26,Yes
75,0,0.59,No
57,2,0.12,No
59,0,0.08,No
69,0,0.01,No
