Class,Age,Gender,Survived
Crew,Adult,Male,Yes
First,Adult,Female,Yes
Crew,Adult,Male,No
Third,Adult,Male,No
First,Adult,Male,No
Crew,Adult,Male,No
Third,Adult,Male,No
First,Adult,Male,No
Third,Adult,Female,Yes
First,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,No
Second,Adult,Male,No
Crew,Adult,Male,No
Second,Adult,Male,No
Second,Adult,Male,No
Third,Adult,Male,No
Crew,Adult,Male,Yes
First,Adult,Female,Yes
Crew,Adult,Male,Yes
Third,Child,Male,No
Second,Adult,Male,Yes
Third,Adult,Female,No
Crew,Adult,Male,No
First,Adult,Male,No
Crew,Adult,Male,Yes
Third,Adult,Male,No
Third,Child,Male,No
Crew,Adult,Male,No
Third,Adult,Female,Yes
Crew,Adult,Male,Yes
Third,Adult,Male,No
First,Adult,Male,No
Second,Adult,Male,No
Crew,Adult,Male,Yes
First,Adult,Male,Yes
Crew,Adult,Male,No
Third,Adult,Male,No
Crew,Adult,Male,No
First,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,Yes
Third,Adult,Female,No
Crew,Adult,Male,No
Second,Adult,Male,No
Crew,Adult,Male,Yes
Third,Adult,Female,No
Crew,Adult,Male,No
Crew,Adult,Male,No
First,Child,Male,Yes
Second,Child,Male,Yes
Crew,Adult,Male,No
First,Adult,Female,Yes
Third,Adult,Female,Yes
First,Adult,Male,No
Third,Adult,Male,No
Third,Child,Female,No
Crew,Adult,Male,No
Third,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,Yes
First,Adult,Male,Yes
Second,Adult,Male,No
Crew,Adult,Male,Yes
Second,Adult,Male,No
Third,Adult,Female,Yes
Crew,Adult,Male,No
Crew,Adult,Male,No
Second,Adult,Male,No
Third,Adult,Male,No
Crew,Adult,Female,No
Crew,Adult,Male,No
Third,Adult,Female,No
Crew,Adult,Male,Yes
Third,Adult,Male,No
Third,Adult,Male,No
Third,Child,Female,Yes
Third,Adult,Female,No
Crew,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,Yes
Crew,Adult,Male,Yes
Second,Adult,Male,No
Third,Adult,Male,No
Crew,Adult,Male,No
Third,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,Yes
Crew,Adult,Male,No
Third,Child,Male,No
Second,Adult,Female,Yes
Crew,Adult,Male,No
Second,Adult,Female,No
Crew,Adult,Male,No
First,Adult,Female,Yes
Second,Adult,Male,No
First,Adult,Male,No
Crew,Adult,Female,Yes
Third,Adult,Male,No
First,Adult,Female,Yes
Crew,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,No
Third,Adult,Female,Yes
Third,Adult,Male,No
First,Adult,Female,Yes
Crew,Adult,Male,Yes
Third,Adult,Male,No
First,Adult,Female,Yes
Third,Adult,Male,No
Crew,Adult,Male,Yes
Crew,Adult,Male,No
Crew,Adult,Male,No
Second,Adult,Female,Yes
Third,Adult,Male,No
Crew,Adult,Male,No
Third,Adult,Female,Yes
Third,Adult,Male,No
Crew,Adult,Male,No
First,Adult,Female,Yes
Crew,Adult,Male,No
Third,Adult,Male,No
Crew,Adult,Male,No
Second,Adult,Female,Yes
Crew,Adult,Male,No
Second,Adult,Male,No
Crew,Adult,Male,No
Third,Adult,Female,Yes
Crew,Adult,Male,No
Second,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,Yes
Crew,Adult,Male,No
Crew,Adult,Female,Yes
Third,Adult,Male,Yes
Second,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,No
Third,Adult,Male,Yes
Crew,Adult,Male,No
Third,Adult,Female,Yes
Second,Adult,Female,No
Third,Adult,Male,No
Third,Adult,Male,No
Third,Adult,Male,No
Third,Adult,Male,Yes
First,Adult,Female,Yes
Crew,Adult,Male,No
Crew,Adult,Male,No
Third,Child,Male,No
Third,Adult,Male,No
First,Adult,Male,No
First,Adult,Female,Yes
First,Adult,Female,Yes
Crew,Adult,Male,No
Crew,Adult,Male,No
First,Adult,Female,Yes
Third,Adult,Male,No
First,Adult,Male,Yes
Second,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,No
First,Adult,Male,No
Crew,Adult,Male,No
Third,Adult,Female,No
Crew,Adult,Male,No
Crew,Adult,Male,Yes
Third,Adult,Female,No
Second,Adult,Male,No
Third,Adult,Male,No
Crew,Adult,Male,Yes
Crew,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,No
Third,Adult,Male,No
First,Adult,Male,No
Third,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,No
Third,Adult,Male,Yes
Crew,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,No
Third,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,Yes
Crew,Adult,Male,No
First,Adult,Male,No
Third,Adult,Male,Yes
Third,Adult,Male,No
Crew,Adult,Male,No
First,Adult,Male,No
Second,Adult,Female,Yes
First,Adult,Female,No
Crew,Adult,Male,No
Crew,Adult,Male,No
Second,Adult,Female,Yes
Crew,Adult,Male,Yes
First,Adult,Male,No
Crew,Adult,Male,Yes
Crew,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,No
First,Adult,Male,No
First,Adult,Female,Yes
Third,Adult,Male,No
Crew,Adult,Male,No
First,Adult,Male,Yes
Third,Adult,Male,No
Third,Adult,Male,No
Third,Adult,Male,No
Third,Adult,Male,No
Third,Adult,Male,Yes
Crew,Adult,Male,No
Crew,Adult,Male,No
Third,Adult,Male,No
Crew,Adult,Male,Yes
Crew,Adult,Male,No
Crew,Adult,Male,No
Third,Adult,Female,Yes
Second,Adult,Male,No
Crew,Adult,Male,No
First,Adult,Female,Yes
First,Adult,Male,No
Second,Adult,Male,Yes
Third,Adult,Male,No
Third,Adult,Male,No
Crew,Adult,Male,No
First,Adult,Male,No
Second,Adult,Female,No
Crew,Adult,Male,No
Crew,Adult,Male,Yes
Third,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,Yes
Second,Adult,Male,No
First,Adult,Male,No
Second,Adult,Male,No
Crew,Adult,Male,No
Third,Child,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,No
Third,Adult,Female,No
Third,Adult,Male,No
Third,Adult,Male,No
Crew,Adult,Male,Yes
Crew,Adult,Male,No
Crew,Adult,Male,Yes
Third,Adult,Female,Yes
Crew,Adult,Male,No
First,Adult,Male,No
Third,Adult,Male,No
Crew,Adult,Male,No
First,Adult,Female,Yes
Third,Adult,Male,No
First,Adult,Male,No
Third,Adult,Male,No
Second,Adult,Female,Yes
Third,Adult,Male,No
Third,Adult,Male,No
Second,Adult,Male,No
Third,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,No
First,Adult,Male,No
Third,Adult,Male,No
Third,Adult,Male,Yes
Crew,Adult,Male,No
Second,Adult,Male,No
First,Adult,Female,No
Crew,Adult,Male,Yes
Crew,Adult,Male,No
Crew,Adult,Male,No
Third,Adult,Male,No
Third,Adult,Female,Yes
Third,Adult,Female,Yes
Crew,Adult,Male,Yes
Third,Child,Female,No
First,Adult,Female,Yes
Crew,Adult,Male,No
Crew,Adult,Male,No
Crew,Adult,Male,No
First,Adult,Male,No
Second,Adult,Male,No
First,Adult,Male,Yes
Crew,Adult,Male,No
Third,Adult,Male,No
Second,Adult,Female,Yes
Crew,Adult,Male,No
Crew,Adult,Male,Yes
First,Adult,Male,No
First,Adult,Male,Yes
Crew,Adult,Male,No
Second,Adult,Female,Yes
Third,Adult,Female,No
Crew,Adult,Male,No
